"","V1"
"1",3
"2",3
"3",2
"4",2
"5",1
"6",4
"7",1
"8",2
"9",2
"10",5
"11",2
"12",2
"13",4
"14",1
"15",1
"16",1
"17",2
"18",5
"19",5
"20",3
"21",5
"22",1
"23",3
"24",2
"25",1
"26",1
"27",5
"28",5
"29",2
"30",4
"31",5
"32",4
"33",1
"34",1
"35",4
"36",1
"37",2
"38",3
"39",1
"40",3
"41",2
"42",2
"43",1
"44",1
"45",5
"46",5
"47",2
"48",1
"49",4
"50",3
"51",5
"52",4
"53",1
"54",3
"55",2
"56",2
"57",1
"58",1
"59",2
"60",5
"61",1
"62",1
"63",2
"64",5
"65",4
"66",1
"67",4
"68",5
"69",1
"70",1
"71",3
"72",3
"73",1
"74",1
"75",1
"76",1
"77",3
"78",1
"79",4
"80",3
"81",3
"82",3
"83",5
"84",5
"85",1
"86",5
"87",4
"88",4
"89",5
"90",3
"91",2
"92",1
"93",3
"94",1
"95",5
"96",4
"97",1
"98",2
"99",1
