"word"	"freq"
"89"	25
"27"	24
"75"	21
"25"	16
"67"	16
"86"	16
"92"	16
"19"	15
"63"	15
"64"	15
"68"	15
"91"	15
"80"	14
"17"	13
"52"	13
"95"	13
"29"	12
"41"	12
"53"	12
"69"	12
"70"	12
"77"	12
"18"	11
"24"	11
"56"	11
"59"	11
"74"	11
"99"	11
"4"	10
"12"	10
"23"	10
"32"	10
"35"	10
"37"	10
"47"	10
"48"	10
"60"	10
"78"	10
"81"	10
"5"	9
"13"	9
"42"	9
"44"	9
"45"	9
"46"	9
"50"	9
"66"	9
"83"	9
"84"	9
"90"	9
"96"	9
"7"	8
"8"	8
"9"	8
"11"	8
"21"	8
"28"	8
"31"	8
"40"	8
"49"	8
"51"	8
"6"	7
"10"	7
"16"	7
"20"	7
"26"	7
"30"	7
"33"	7
"36"	7
"39"	7
"43"	7
"54"	7
"55"	7
"57"	7
"58"	7
"61"	7
"62"	7
"65"	7
"82"	7
"85"	7
"93"	7
"94"	7
"98"	7
"1"	6
"3"	6
"15"	6
"22"	6
"34"	6
"72"	6
"73"	6
"79"	6
"2"	5
"14"	5
"38"	5
"71"	5
"76"	5
"87"	5
"88"	5
"97"	5
