word	freq
art	30
artist	20
the	18
gogh	12
van	12
vincent	12
painting	11
paint	10
always	9
pablo	9
picasso	9
one	9
nature	8
say	7
things	7
soul	7
time	6
life	6
make	6
never	6
dont	6
paul	6
nothing	5
world	5
reality	5
thing	5
good	5
paints	5
work	5
way	5
great	4
love	4
henry	4
see	4
can	4
making	4
rather	4
everything	4
come	4
less	4
leonardo	4
vinci	4
without	4
makes	4
like	4
matter	4
heart	3
henri	3
takes	3
andy	3
warhol	3
away	3
chagall	3
marc	3
anything	3
want	3
create	3
georgia	3
object	3
auguste	3
important	3
moore	3
every	3
must	3
cezanne	3
emotions	3
get	3
look	3
there	3
mastery	3
michelangelo	3
people	3
pictures	3
greater	3
seen	3
knowing	3
painters	3
