keyword,frequency,intersectionAI,
Artificial Intelligence,33054,33054,
Cybernatics,5024,209,
Neurosciences,39258,249,
Machine Intelligence,8620,5124,
Computational Intelligence,8374,3418,
Induction Machines,3610,16,
Cognitive Sciences,27500,646,
Humanoid Robots,2772,58,
Human Motion Analysis,601,8,
Natural Language Processing,16242,572,
Fuzzy Logic,40920,1555,
Machine Learning,84442,2588,
Robotics,38274,1175,
Imitation,16914,81,
Autonomous Robots,2377,105,
Affective Computing,2368,68,
Learning Theory,7983,55,
Intelligent systems,82692,4123,
Pattern Recognition,110678,1182,
Neural Networks,285679,7632,
